date,category,amount,memo
2026-08-01,주거·공과금,550000,8월 월세
2026-08-01,식비,12000,편의점
2026-08-02,식비,35000,마트 장보기
2026-08-02,교통,3000,지하철
2026-08-03,식비,18500,점심
2026-08-03,교통,3000,지하철
2026-08-03,쇼핑,89000,운동화
2026-08-04,식비,42000,저녁 회식
2026-08-04,교통,3000,지하철
2026-08-05,여가·문화,15000,영화관람
2026-08-05,식비,9800,카페
2026-08-06,식비,27000,마트
2026-08-06,교통,3000,지하철
2026-08-07,기타,20000,미용실
2026-08-07,식비,13500,점심
2026-08-08,교통,3000,지하철
2026-08-08,식비,31200,저녁
2026-08-08,쇼핑,54000,의류
2026-08-09,여가·문화,42000,전시회+식사
2026-08-09,식비,16800,브런치
2026-08-10,식비,58000,친구 생일 저녁
2026-08-10,교통,15000,주말 택시
2026-08-10,쇼핑,120700,가전 소품
2026-08-11,식비,22000,장보기
2026-08-11,기타,45000,병원
2026-08-12,식비,21000,점심+저녁
2026-08-12,교통,3000,지하철
2026-08-12,여가·문화,25000,헬스장 등록
2026-08-13,식비,11600,아침 카페
2026-08-13,교통,3000,지하철
2026-08-13,쇼핑,35000,책 구매
